t	i	j	DateTime
1560400240	FANA	EWINE	13/06/2019 06:30
1560400260	KALI	PIPO	13/06/2019 06:31
1560400260	FANA	EWINE	13/06/2019 06:31
1560400280	FANA	EWINE	13/06/2019 06:31
1560400280	KALI	PIPO	13/06/2019 06:31
1560400300	KALI	PIPO	13/06/2019 06:31
1560400320	FANA	EWINE	13/06/2019 06:32
1560400340	FANA	EWINE	13/06/2019 06:32
1560400360	KALI	PIPO	13/06/2019 06:32
1560400360	FANA	EWINE	13/06/2019 06:32
1560400380	KALI	PIPO	13/06/2019 06:33
1560400380	FANA	EWINE	13/06/2019 06:33
1560400400	FANA	EWINE	13/06/2019 06:33
1560400400	FEYA	ANGELE	13/06/2019 06:33
1560400420	FANA	EWINE	13/06/2019 06:33
1560400420	FEYA	ANGELE	13/06/2019 06:33
1560400440	FANA	EWINE	13/06/2019 06:34
1560400440	FEYA	ANGELE	13/06/2019 06:34
1560400460	FELIPE	ANGELE	13/06/2019 06:34
1560400460	FEYA	ANGELE	13/06/2019 06:34
1560400460	FEYA	FELIPE	13/06/2019 06:34
1560400460	FANA	EWINE	13/06/2019 06:34
1560400480	FEYA	ANGELE	13/06/2019 06:34
1560400480	FANA	EWINE	13/06/2019 06:34
1560400500	FANA	EWINE	13/06/2019 06:35
1560400520	KALI	PIPO	13/06/2019 06:35
1560400520	FANA	EWINE	13/06/2019 06:35
1560400520	FEYA	ANGELE	13/06/2019 06:35
1560400540	FANA	EWINE	13/06/2019 06:35
1560400540	FEYA	ANGELE	13/06/2019 06:35
1560400560	FANA	EWINE	13/06/2019 06:36
1560400560	FEYA	ANGELE	13/06/2019 06:36
1560400580	FEYA	ANGELE	13/06/2019 06:36
1560400580	FEYA	FELIPE	13/06/2019 06:36
1560400580	FANA	EWINE	13/06/2019 06:36
1560400580	FELIPE	ANGELE	13/06/2019 06:36
1560400600	FANA	EWINE	13/06/2019 06:36
1560400600	FEYA	FELIPE	13/06/2019 06:36
1560400600	FEYA	ANGELE	13/06/2019 06:36
1560400600	FELIPE	ANGELE	13/06/2019 06:36
1560400620	FEYA	ANGELE	13/06/2019 06:37
1560400620	FELIPE	ANGELE	13/06/2019 06:37
1560400620	FEYA	FELIPE	13/06/2019 06:37
1560400620	FANA	EWINE	13/06/2019 06:37
1560400640	FEYA	FELIPE	13/06/2019 06:37
1560400640	FELIPE	ANGELE	13/06/2019 06:37
1560400640	FEYA	ANGELE	13/06/2019 06:37
1560400660	FEYA	FELIPE	13/06/2019 06:37
1560400660	FEYA	ANGELE	13/06/2019 06:37
1560400660	FELIPE	ANGELE	13/06/2019 06:37
1560400680	FELIPE	ANGELE	13/06/2019 06:38
1560400680	FEYA	ANGELE	13/06/2019 06:38
1560400700	FEYA	ANGELE	13/06/2019 06:38
1560400700	FEYA	FELIPE	13/06/2019 06:38
1560400720	FELIPE	ANGELE	13/06/2019 06:38
1560400720	FEYA	ANGELE	13/06/2019 06:38
1560400740	FEYA	ANGELE	13/06/2019 06:39
1560400760	FANA	EWINE	13/06/2019 06:39
1560400760	FEYA	FELIPE	13/06/2019 06:39
1560400760	FEYA	ANGELE	13/06/2019 06:39
1560400780	FEYA	ANGELE	13/06/2019 06:39
1560400780	FEYA	FELIPE	13/06/2019 06:39
1560400780	KALI	PIPO	13/06/2019 06:39
1560400800	FELIPE	ANGELE	13/06/2019 06:40
1560400800	FEYA	FELIPE	13/06/2019 06:40
1560400800	FEYA	ANGELE	13/06/2019 06:40
1560400820	FEYA	ANGELE	13/06/2019 06:40
1560400820	FEYA	FELIPE	13/06/2019 06:40
1560400820	FELIPE	ANGELE	13/06/2019 06:40
1560400840	FEYA	FELIPE	13/06/2019 06:40
1560400840	FEYA	ANGELE	13/06/2019 06:40
1560400840	FELIPE	ANGELE	13/06/2019 06:40
1560400860	FEYA	FELIPE	13/06/2019 06:41
1560400860	FEYA	ANGELE	13/06/2019 06:41
1560400860	FELIPE	ANGELE	13/06/2019 06:41
1560400880	FEYA	FELIPE	13/06/2019 06:41
1560400880	FEYA	ANGELE	13/06/2019 06:41
1560400880	FELIPE	ANGELE	13/06/2019 06:41
1560400900	FANA	EWINE	13/06/2019 06:41
1560400900	FEYA	FELIPE	13/06/2019 06:41
1560400900	FEYA	ANGELE	13/06/2019 06:41
1560400900	FELIPE	ANGELE	13/06/2019 06:41
1560400920	FEYA	FELIPE	13/06/2019 06:42
1560400920	FELIPE	ANGELE	13/06/2019 06:42
1560400920	FEYA	ANGELE	13/06/2019 06:42
1560400940	FEYA	ANGELE	13/06/2019 06:42
1560400940	FELIPE	ANGELE	13/06/2019 06:42
1560400940	FEYA	FELIPE	13/06/2019 06:42
1560400940	FANA	EWINE	13/06/2019 06:42
1560400960	FEYA	ANGELE	13/06/2019 06:42
1560400960	FEYA	FELIPE	13/06/2019 06:42
1560400960	FELIPE	ANGELE	13/06/2019 06:42
1560400960	FANA	EWINE	13/06/2019 06:42
1560400980	FEYA	FELIPE	13/06/2019 06:43
1560400980	FEYA	ANGELE	13/06/2019 06:43
1560400980	FELIPE	ANGELE	13/06/2019 06:43
1560401000	FELIPE	ANGELE	13/06/2019 06:43
1560401000	FEYA	ANGELE	13/06/2019 06:43
1560401000	FEYA	FELIPE	13/06/2019 06:43
1560401000	FANA	EWINE	13/06/2019 06:43
1560401020	FANA	EWINE	13/06/2019 06:43
1560401020	FELIPE	ANGELE	13/06/2019 06:43
1560401040	FANA	EWINE	13/06/2019 06:44
1560401080	FANA	EWINE	13/06/2019 06:44
1560401080	FEYA	ANGELE	13/06/2019 06:44
1560401100	FEYA	ANGELE	13/06/2019 06:45
1560401100	FELIPE	ANGELE	13/06/2019 06:45
1560401100	FANA	EWINE	13/06/2019 06:45
1560401120	FANA	EWINE	13/06/2019 06:45
1560401120	FEYA	ANGELE	13/06/2019 06:45
1560401120	FEYA	FELIPE	13/06/2019 06:45
1560401140	FANA	EWINE	13/06/2019 06:45
1560401140	FEYA	FELIPE	13/06/2019 06:45
1560401160	VIOLETTE	HARLEM	13/06/2019 06:46
1560401160	FANA	EWINE	13/06/2019 06:46
1560401180	FANA	EWINE	13/06/2019 06:46
1560401180	ARIELLE	ATMOSPHERE	13/06/2019 06:46
1560401200	FANA	EWINE	13/06/2019 06:46
1560401220	KALI	PIPO	13/06/2019 06:47
1560401220	FANA	EWINE	13/06/2019 06:47
1560401240	KALI	PIPO	13/06/2019 06:47
1560401240	FANA	EWINE	13/06/2019 06:47
1560401260	KALI	PIPO	13/06/2019 06:47
1560401280	KALI	PIPO	13/06/2019 06:48
1560401300	KALI	PIPO	13/06/2019 06:48
1560401300	FEYA	FELIPE	13/06/2019 06:48
1560401320	KALI	PIPO	13/06/2019 06:48
1560401340	KALI	PIPO	13/06/2019 06:49
1560401360	KALI	PIPO	13/06/2019 06:49
1560401380	FEYA	FELIPE	13/06/2019 06:49
1560401380	FANA	EWINE	13/06/2019 06:49
1560401380	KALI	PIPO	13/06/2019 06:49
1560401400	KALI	PIPO	13/06/2019 06:50
1560401400	FANA	EWINE	13/06/2019 06:50
1560401420	KALI	PIPO	13/06/2019 06:50
1560401420	FANA	EWINE	13/06/2019 06:50
1560401420	FEYA	ANGELE	13/06/2019 06:50
1560401420	FELIPE	ANGELE	13/06/2019 06:50
1560401440	FANA	EWINE	13/06/2019 06:50
1560401440	FEYA	ANGELE	13/06/2019 06:50
1560401440	KALI	PIPO	13/06/2019 06:50
1560401460	KALI	PIPO	13/06/2019 06:51
1560401460	FANA	EWINE	13/06/2019 06:51
1560401460	FELIPE	ANGELE	13/06/2019 06:51
1560401460	FEYA	ANGELE	13/06/2019 06:51
1560401480	FELIPE	ANGELE	13/06/2019 06:51
1560401480	FANA	EWINE	13/06/2019 06:51
1560401480	FEYA	FELIPE	13/06/2019 06:51
1560401480	FEYA	ANGELE	13/06/2019 06:51
1560401500	FANA	EWINE	13/06/2019 06:51
1560401500	FELIPE	ANGELE	13/06/2019 06:51
1560401520	FANA	EWINE	13/06/2019 06:52
1560401520	FELIPE	ANGELE	13/06/2019 06:52
1560401540	FANA	EWINE	13/06/2019 06:52
1560401540	FELIPE	ANGELE	13/06/2019 06:52
1560401560	FANA	EWINE	13/06/2019 06:52
1560401560	FELIPE	ANGELE	13/06/2019 06:52
1560401580	FANA	EWINE	13/06/2019 06:53
1560401580	FELIPE	ANGELE	13/06/2019 06:53
1560401600	FANA	EWINE	13/06/2019 06:53
1560401600	FELIPE	ANGELE	13/06/2019 06:53
1560401620	FELIPE	ANGELE	13/06/2019 06:53
1560401620	EWINE	FELIPE	13/06/2019 06:53
1560401620	FANA	ANGELE	13/06/2019 06:53
1560401640	FEYA	ANGELE	13/06/2019 06:54
1560401640	FELIPE	ANGELE	13/06/2019 06:54
1560401660	FELIPE	ANGELE	13/06/2019 06:54
1560401680	FELIPE	ANGELE	13/06/2019 06:54
1560401680	FEYA	ANGELE	13/06/2019 06:54
1560401700	FELIPE	ANGELE	13/06/2019 06:55
1560401720	FANA	EWINE	13/06/2019 06:55
1560401720	FELIPE	ANGELE	13/06/2019 06:55
1560401740	FEYA	ANGELE	13/06/2019 06:55
1560401740	FEYA	FELIPE	13/06/2019 06:55
1560401740	FELIPE	ANGELE	13/06/2019 06:55
1560401760	FELIPE	ANGELE	13/06/2019 06:56
1560401780	FELIPE	ANGELE	13/06/2019 06:56
1560401800	FELIPE	ANGELE	13/06/2019 06:56
1560401820	FELIPE	ANGELE	13/06/2019 06:57
1560401880	KALI	PIPO	13/06/2019 06:58
1560401880	FEYA	ANGELE	13/06/2019 06:58
1560401900	KALI	PIPO	13/06/2019 06:58
1560401960	KALI	PIPO	13/06/2019 06:59
1560401980	KALI	PIPO	13/06/2019 06:59
1560402000	KALI	PIPO	13/06/2019 07:00
1560402020	KALI	PIPO	13/06/2019 07:00
1560402040	KALI	PIPO	13/06/2019 07:00
1560402060	KALI	PIPO	13/06/2019 07:01
1560402080	KALI	PIPO	13/06/2019 07:01
1560402100	KALI	PIPO	13/06/2019 07:01
1560402120	KALI	PIPO	13/06/2019 07:02
1560402120	VIOLETTE	ANGELE	13/06/2019 07:02
1560402160	FANA	EWINE	13/06/2019 07:02
1560402200	ATMOSPHERE	FELIPE	13/06/2019 07:03
1560402200	FEYA	PETOULETTE	13/06/2019 07:03
1560402220	FELIPE	ANGELE	13/06/2019 07:03
1560402220	FEYA	PIPO	13/06/2019 07:03
1560402220	FEYA	PETOULETTE	13/06/2019 07:03
1560402240	ARIELLE	ATMOSPHERE	13/06/2019 07:04
1560402240	EWINE	PIPO	13/06/2019 07:04
1560402240	FEYA	PETOULETTE	13/06/2019 07:04
1560402260	ARIELLE	ATMOSPHERE	13/06/2019 07:04
1560402260	FEYA	ANGELE	13/06/2019 07:04
1560402280	KALI	PIPO	13/06/2019 07:04
1560402280	ARIELLE	ATMOSPHERE	13/06/2019 07:04
1560402280	FEYA	PETOULETTE	13/06/2019 07:04
1560402300	FEYA	PETOULETTE	13/06/2019 07:05
1560402300	ARIELLE	ATMOSPHERE	13/06/2019 07:05
1560402300	PETOULETTE	ANGELE	13/06/2019 07:05
1560402320	KALI	PIPO	13/06/2019 07:05
1560402320	ARIELLE	ATMOSPHERE	13/06/2019 07:05
1560402320	FANA	FELIPE	13/06/2019 07:05
1560402340	KALI	PIPO	13/06/2019 07:05
1560402340	ARIELLE	ATMOSPHERE	13/06/2019 07:05
1560402340	FEYA	PETOULETTE	13/06/2019 07:05
1560402360	FEYA	PETOULETTE	13/06/2019 07:06
1560402360	FELIPE	ANGELE	13/06/2019 07:06
1560402360	KALI	PIPO	13/06/2019 07:06
1560402360	ARIELLE	ATMOSPHERE	13/06/2019 07:06
1560402360	VIOLETTE	ANGELE	13/06/2019 07:06
1560402380	VIOLETTE	ANGELE	13/06/2019 07:06
1560402380	FEYA	PETOULETTE	13/06/2019 07:06
1560402380	KALI	PIPO	13/06/2019 07:06
1560402380	ARIELLE	ATMOSPHERE	13/06/2019 07:06
1560402400	ARIELLE	ATMOSPHERE	13/06/2019 07:06
1560402400	FEYA	PETOULETTE	13/06/2019 07:06
1560402420	ARIELLE	ATMOSPHERE	13/06/2019 07:07
1560402420	FEYA	PETOULETTE	13/06/2019 07:07
1560402440	ARIELLE	ATMOSPHERE	13/06/2019 07:07
1560402440	PETOULETTE	ANGELE	13/06/2019 07:07
1560402440	FEYA	ANGELE	13/06/2019 07:07
1560402440	FEYA	PETOULETTE	13/06/2019 07:07
1560402460	ARIELLE	ATMOSPHERE	13/06/2019 07:07
1560402460	FEYA	FELIPE	13/06/2019 07:07
1560402480	ARIELLE	ATMOSPHERE	13/06/2019 07:08
1560402480	FEYA	FELIPE	13/06/2019 07:08
1560402500	FELIPE	ANGELE	13/06/2019 07:08
1560402520	FANA	PETOULETTE	13/06/2019 07:08
1560402540	FEYA	FELIPE	13/06/2019 07:09
1560402540	FEYA	ANGELE	13/06/2019 07:09
1560402540	FELIPE	ANGELE	13/06/2019 07:09
1560402540	FANA	PETOULETTE	13/06/2019 07:09
1560402560	FANA	PETOULETTE	13/06/2019 07:09
1560402560	FEYA	ANGELE	13/06/2019 07:09
1560402560	FEYA	FELIPE	13/06/2019 07:09
1560402560	FELIPE	ANGELE	13/06/2019 07:09
1560402580	FANA	PETOULETTE	13/06/2019 07:09
1560402580	ARIELLE	ATMOSPHERE	13/06/2019 07:09
1560402580	FEYA	ANGELE	13/06/2019 07:09
1560402600	FEYA	ANGELE	13/06/2019 07:10
1560402600	FELIPE	ANGELE	13/06/2019 07:10
1560402600	FANA	PETOULETTE	13/06/2019 07:10
1560402600	ARIELLE	ATMOSPHERE	13/06/2019 07:10
1560402620	EWINE	PETOULETTE	13/06/2019 07:10
1560402620	FANA	PETOULETTE	13/06/2019 07:10
1560402640	FANA	PETOULETTE	13/06/2019 07:10
1560402640	VIOLETTE	ANGELE	13/06/2019 07:10
1560402660	FANA	PETOULETTE	13/06/2019 07:11
1560402680	FANA	PETOULETTE	13/06/2019 07:11
1560402680	FANA	EWINE	13/06/2019 07:11
1560402680	ARIELLE	ATMOSPHERE	13/06/2019 07:11
1560402700	FANA	PETOULETTE	13/06/2019 07:11
1560402700	FEYA	ANGELE	13/06/2019 07:11
1560402700	ARIELLE	ATMOSPHERE	13/06/2019 07:11
1560402720	FANA	PETOULETTE	13/06/2019 07:12
1560402720	KALI	PIPO	13/06/2019 07:12
1560402720	ARIELLE	ATMOSPHERE	13/06/2019 07:12
1560402740	EWINE	PETOULETTE	13/06/2019 07:12
1560402740	FEYA	ANGELE	13/06/2019 07:12
1560402740	FANA	PETOULETTE	13/06/2019 07:12
1560402760	FANA	EWINE	13/06/2019 07:12
1560402760	EWINE	PETOULETTE	13/06/2019 07:12
1560402780	FANA	EWINE	13/06/2019 07:13
1560402780	EWINE	PETOULETTE	13/06/2019 07:13
1560402800	FANA	EWINE	13/06/2019 07:13
1560402800	EWINE	PETOULETTE	13/06/2019 07:13
1560402820	FANA	EWINE	13/06/2019 07:13
1560402820	EWINE	PETOULETTE	13/06/2019 07:13
1560402840	FANA	EWINE	13/06/2019 07:14
1560402840	EWINE	PETOULETTE	13/06/2019 07:14
1560402840	FEYA	ANGELE	13/06/2019 07:14
1560402860	EWINE	PETOULETTE	13/06/2019 07:14
1560402860	FANA	PETOULETTE	13/06/2019 07:14
1560402860	ARIELLE	ATMOSPHERE	13/06/2019 07:14
1560402860	KALI	PIPO	13/06/2019 07:14
1560402860	FEYA	ANGELE	13/06/2019 07:14
1560402860	FANA	EWINE	13/06/2019 07:14
1560402880	FANA	PETOULETTE	13/06/2019 07:14
1560402880	KALI	PIPO	13/06/2019 07:14
1560402880	FELIPE	ANGELE	13/06/2019 07:14
